Application Group Name,package signature,process,parameters ,proces Desc,priority,service (in nmap),

Generic Web Server,,,,Generic Web Server,1,http;https,PH_SYS_APP_WEB_SERVER
Apache Webserver,http,"httpd,apache2",,Apache Webserver,10,http;https,PH_SYS_APP_WEB_SERVER 
Java VM,,java,,Java VM,10,,
Web Server for Ruby-on-rails,,mongrel_rails,,Web Server for Ruby-on-rails,10,,PH_SYS_APP_WEB_SERVER
Unix Terminal Manager,,"getty,ttymon,agetty,mgetty,mingetty",,Unix Terminal Manager,10,,PH_SYS_APP_HOST_CONN
Microsoft IIS,,svchost.exe,"""-k iissvc""",Microsoft IIS,10,http;https;,PH_SYS_APP_WEB_SERVER
Microsoft IIS,,w3wp.exe,,Microsoft IIS Application Pool Process,10,,
Tomcat Appserver,tomcat,"tomcat.exe,tomcat5.exe,tomcat6.exe",,Tomcat Appserver,10,http-alt;https-alt,PH_SYS_APP_APP_SERVER
PostgreSQL Database Server,postgresql,postmaster,,PostgreSQL Database Server,10,postgres,PH_SYS_APP_DATABASE_SERVER
MySQL Database Server,mysql-server,mysqld,,MySQL Database Server,10,mysql,PH_SYS_APP_DATABASE_SERVER
Sybase Adaptive Server,,"dbsrv7.exe,dbsrv8.exe,dbsrv9.exe",,Sybase Adaptive Server,10,sybase,PH_SYS_APP_DATABASE_SERVER
Microsoft SQL Server,SQL Server,sqlservr.exe,,Microsoft SQL Server,10,ms-sql-s,PH_SYS_APP_DATABASE_SERVER
Microsoft SQL Server,,,,Microsoft SQL Monitor,10,ms-sql-m,PH_SYS_APP_DATABASE_SERVER
Microsoft SQL Server,,logread.exe,,Microsoft SQL Server Replication Logreader Agent,10,,PH_SYS_APP_DATABASE_SERVER
Microsoft SQL Server,,sqlwriter.exe,,Microsoft SQL Server Volume Shadow Copy Service Process,10,,
Microsoft SQL Server,,MsDTSSrvr.exe,,Microsoft SQL Server Integrated Services Package Mgmt Process,10,,
Oracle Database Server,,oracle,,Oracle Database Server,10,oracle;sql*net,PH_SYS_APP_DATABASE_SERVER
Oracle Command Line SQL PL/SQL,,sqlplus,,Oracle Command Line SQL PL/SQL,10,,
IBM DB2 Server,,,,IBM DB2 Server,1,ibm-db2,PH_SYS_APP_DATABASE_SERVER
OpenSSH Server,openssh-server,sshd,,OpenSSH Server,10,ssh,PH_SYS_APP_HOST_CONN
FTP Server,,,,FTP Server,1,ftp,PH_SYS_APP_HOST_CONN
Very Secure FTP Server,,vsftpd,,Very Secure FTP Server,10,ftp,PH_SYS_APP_HOST_CONN
Microsoft DNS,,dns.exe,,Microsoft DNS,10,domain,PH_SYS_APP_DNS_SERVER
Unix NTP daemon,,ntpd,,Unix NTP daemon,10,ntp,
Generic DHCP Server,,,,DHCP Server,1,dhcps;dhcpv6-server,
