## Generic Event attributes (range 1-999),,,,General,Network,System,Appl,PH,displayFormat,Count(DISTINCT),GroupBy,Aggr,OrderBy,Deprecated,Availability,SysPerf,NetPerf,AppPerf,Change,Security,Simple,rbac,Description
1,Event Type,eventType,string,1,0,0,0,0,,1,1,0,0,0,1,1,1,1,1,1,,1,
2,Event Severity,eventSeverity,uint16,1,0,0,0,0,,1,1,0,0,0,1,1,1,1,1,1,,,
3,IPS Event Risk Rating,ipsEvRR,uint16,1,0,0,0,0,,0,1,0,0,0,,,,,,1,,,
4,IPS Event Threat Rating,ipsEvTR,uint16,1,0,0,0,0,,0,1,0,0,0,,,,,,1,,,
5,Event Action,eventAction,uint16,1,0,0,0,0,Code,1,1,0,0,0,,,,,,1,,,
6,Device Time,deviceTime,Date,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
7,Event Receive Time,phRecvTime,Date,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
8,Relaying IP,relayDevIpAddr,IP,1,0,0,0,0,,1,1,0,0,0,,,,,,1,,1,
9,Reporting IP,reptDevIpAddr,IP,1,0,0,0,0,,1,1,0,0,0,,,,,,1,,1,
10,Relaying Device Name,relayDevName,string,1,0,0,0,0,,1,1,0,0,0,,,,,,1,,1,
11,Reporting Device Name,reptDevName,string,1,0,0,0,0,,1,1,0,0,0,,,,,,1,,1,
12,Customer ID,phCustId,uint32,1,0,0,0,0,,1,1,0,0,0,,,,,1,1,,,
13,Raw Event Log,rawEventMsg,string,1,0,0,0,0,,0,0,0,0,0,,,,,1,1,,,
14,Binary Raw Event Log,binRawEventMsg,binary,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
15,Event ID,eventId,uint64,1,0,0,0,0,,0,1,0,0,0,,,,,1,1,,,
16,AccelOps Event Cat,phEventCategory,uint16,1,0,0,0,0,Code,0,1,0,0,0,,,,,,1,,,
17,Count,count,uint32,1,0,0,0,0,,0,1,0,0,0,,,,,,,,,
18,Agent ID,phAgentId,string,1,0,0,0,0,,1,1,0,0,0,,,,,1,1,,,
19,Event Occur Time,eventTime,Date,1,0,0,0,0,,0,0,0,0,0,,,,,,,,,
20,Event Name,eventName,string,1,0,0,0,0,,1,1,0,0,0,,,,,,,,,
21,Event Parse Status,eventParsedOk,uchar,1,0,0,0,0,Code,1,1,0,0,0,,,,,,1,,,
22,Matched Events,*,string,1,0,0,0,0,,0,0,0,0,0,1,1,1,1,1,1,,,
23,Event Rate (/sec),eventsPerSec,double,1,0,0,0,0,PerSec,0,0,1,1,0,,,,,,,,,
24,Event Severity Category,eventSeverityCat,String,1,0,0,0,0,,0,0,0,0,0,1,1,1,1,1,1,,,
25,Incident Source,incidentSrc,String,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,1,
26,Incident Target,incidentTarget,String,1,0,0,0,0,,0,0,0,0,0,1,1,1,1,1,1,,1,
27,Biz Service Name,bizService,String,1,0,0,0,0,,0,0,0,0,0,1,1,1,1,1,1,,1,
28,Incident Trigger Attribute List,triggeringAttrList,string,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
29,Event Description,eventDesc,string,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
30,Remedy Action,remedyAction,string,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
31,Informational URL,infoURL,string,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
32,Event Receive Hour,phRecvHour,Date,1,0,0,0,0,,0,0,0,0,0,,,,,,1,,,
