3COM-TSMUX,UDP/106,
3DS-LM,"TCP/1538,UDP/1538",
3L-L1,"TCP/1511,UDP/1511",
3M-IMAGE-LM,"TCP/1550,UDP/1550",Image Storage license manager 3M Company
914C-G,"TCP/211,UDP/211",Texas Instruments 914C/G Terminal
9PFS,"TCP/564,UDP/564",plan 9 file service
AAL-LM,"TCP/1469,UDP/1469",Active Analysis Limited License Manager
ABBACCURAY,"TCP/1546,UDP/1546",
ABOUT,UDP/2019,
ABYSS,TCP/9999,Abyss web server remote web management interface
ACAP,TCP/674,ACAP server of Communigate (www.stalker.com)
ACAS,"TCP/62,UDP/62",ACA Services
ACCESSBUILDER,"TCP/888,UDP/888",or Audio CD Database
ACI,"TCP/187,UDP/187",Application Communication Interface
ACMAINT_DBD,UDP/774,
ACMAINT_TRANSD,UDP/775,
ACMSODA,"TCP/6969,UDP/6969",BitTorrent tracker
ACP,"TCP/599,UDP/599",Aeolon Core Protocol
ACR-NEMA,"TCP/104,UDP/104",ACR-NEMA Digital Imag. & Comm. 300
ACTIVESYNC,TCP/5679,Microsoft ActiveSync PDY synchronization
ACTIVESYNC-NOTIFY,UDP/1034,Windows Mobile device ActiveSync Notifications
ADAPT-SNA,"TCP/1365,UDP/1365",Network Software Associates
ADMD,TCP/5100,(chili!soft asp admin port) or Yahoo pager
ADMDOG,TCP/5101,(chili!soft asp)
ADMENG,TCP/5102,(chili!soft asp)
ADVOCENTKVM,TCP/2068,Advocent KVM Server
AED-512,"TCP/149,UDP/149",AED 512 Emulation Service
AF,"TCP/1411,UDP/1411",AudioFile
AFP,"TCP/548,UDP/548",AFP over TCP
AFS,"TCP/1483,UDP/1483",AFS License Manager
AFS3-BOS,"TCP/7007,UDP/7007",basic overseer process
AFS3-CALLBACK,"TCP/7001,UDP/7001",callbacks to cache managers
AFS3-ERRORS,"TCP/7006,UDP/7006",error interpretation service
AFS3-FILESERVER,"TCP/7000,UDP/7000","file server itself, msdos"
AFS3-KASERVER,"TCP/7004,UDP/7004",AFS/Kerberos authentication service
AFS3-PRSERVER,"TCP/7002,UDP/7002",users & groups database
AFS3-RMTSYS,"TCP/7009,UDP/7009",remote cache manager service
AFS3-UPDATE,"TCP/7008,UDP/7008",server-to-server updater
AFS3-VLSERVER,"TCP/7003,UDP/7003",volume location database
AFS3-VOLSER,"TCP/7005,UDP/7005",volume managment server
AIRPORT-ADMIN,TCP/5009,Apple AirPort WAP Administration
AIRS,"TCP/1481,UDP/1481",
AJP12,TCP/8007,Apache JServ Protocol 1.x
AJP13,TCP/8009,Apache JServ Protocol 1.3
ALPES,"TCP/463,UDP/463",
ALTA-ANA-LM,"TCP/1346,UDP/1346",Alta Analytics License Manager
AMANDA,UDP/10080,Amanda Backup Util
AMANDAIDX,TCP/10082,Amanda indexing
AMIDXTAPE,TCP/10083,Amanda tape indexing
AMPR-INFO,"TCP/1535,UDP/1535",
AMPR-INTER,"TCP/1536,UDP/1536",
AMPR-RCMD,"TCP/459,UDP/459",
ANALOGX,TCP/6588,AnalogX HTTP proxy port
ANET,"TCP/212,UDP/212",ATEXSSTR
ANSANOTIFY,"TCP/116,UDP/116",ANSA REX Notify
ANSATRADER,"TCP/124,UDP/124",ANSA REX Trader
ANSOFT-LM-1,"TCP/1083,UDP/1083",Anasoft License Manager
ANSOFT-LM-2,"TCP/1084,UDP/1084",Anasoft License Manager
ANYNETGATEWAY,"TCP/1491,UDP/1491",
AOL,"TCP/5190,UDP/5190",America-Online.  Also can be used by ICQ
AOL-1,"TCP/5191,UDP/5191",AmericaOnline1
AOL-2,"TCP/5192,UDP/5192",AmericaOnline2
AOL-3,"TCP/5193,UDP/5193",AmericaOnline3
APERTUS-LDP,"TCP/539,UDP/539",Apertus Technologies Load Determination
APPLE-IMAP-ADMIN,TCP/626,Apple IMAP mail admin
APPLE-IPHOTO,TCP/8770,Apple iPhoto sharing
APPLE-LICMAN,"TCP/1381,UDP/1381",Apple Network License Manager
APPLE-XSRVR-ADMIN,TCP/625,Apple Mac Xserver admin
APPLEQTC,"TCP/458,UDP/458",apple quick time
APPLEQTCSRVR,UDP/545,
APPLIX,UDP/999,Applix ac
APRI-LM,"TCP/1447,UDP/1447",Applied Parallel Research LM
ARCISDMS,"TCP/262,UDP/262",
ARCSERVE,TCP/6050,ARCserve agent
ARIEL1,"TCP/419,UDP/419",
ARIEL2,"TCP/421,UDP/421",
ARIEL3,"TCP/422,UDP/422",
ARNS,"TCP/384,UDP/384",A Remote Network Server System
AS-SERVERMAP,"TCP/449,UDP/449",AS Server Mapper
ASA,"TCP/386,UDP/386",ASA Message Router Object Def.
ASA-APPL-PROTO,"TCP/502,UDP/502",
ASIP-WEBADMIN,"TCP/311,UDP/311",appleshare ip webadmin
ASPECLMD,"TCP/1544,UDP/1544",
ASPENTEC-LM,"TCP/6142,UDP/6142",Aspen Technology License Manager
AT-3,"TCP/203,UDP/203",AppleTalk Unused
AT-5,"TCP/205,UDP/205",AppleTalk Unused
AT-7,"TCP/207,UDP/207",AppleTalk Unused
AT-8,"TCP/208,UDP/208",AppleTalk Unused
AT-ECHO,"TCP/204,UDP/204",AppleTalk Echo
AT-NBP,"TCP/202,UDP/202",AppleTalk Name Binding
AT-RTMP,"TCP/201,UDP/201",AppleTalk Routing Maintenance
AT-ZIS,"TCP/206,UDP/206",AppleTalk Zone Information
ATEX_ELMD,"TCP/1385,UDP/1385",Atex Publishing License Manager
ATLS,"TCP/216,UDP/216",Access Technology License Server
ATM-ZIP-OFFICE,"TCP/1520,UDP/1520",atm zip office
ATS,"TCP/2201,UDP/2201",Advanced Training System Program
AUDIO-ACTIVMAIL,"TCP/1397,UDP/1397",Audio Active Mail
AUDIONEWS,"TCP/114,UDP/114",Audio News Multicast
AUDIT,"TCP/182,UDP/182",Unisys Audit SITP
AUDITD,"TCP/48,UDP/48",Digital Audit Daemon
AURORA-CMGR,"TCP/364,UDP/364",
AURP,"TCP/387,UDP/387",Appletalk Update-Based Routing Pro.
AUTH,"TCP/113,UDP/113","ident, tap, Authentication Service"
AUTODESK-LM,"TCP/1422,UDP/1422",Autodesk License Manager
AVIAN,UDP/486,
AXON-LM,"TCP/1548,UDP/1548",Axon License Manager
BACKORIFICE,UDP/31337,cDc Back Orifice remote admin tool
BACKUPEXEC,TCP/6101,Backup Exec UNIX and 95/98/ME Aent
BANYAN-RPC,"TCP/567,UDP/567",
BANYAN-VIP,"TCP/573,UDP/573",
BBN-MMC,"TCP/1347,UDP/1347",multi media conferencing
BBN-MMX,"TCP/1348,UDP/1348",multi media conferencing
BDP,"TCP/581,UDP/581",Bundle Discovery Protocol
BFTP,"TCP/152,UDP/152",Background File Transfer Program
BGMP,TCP/264,
BGP,"TCP/179,UDP/179",Border Gateway Protocol
BGPD,TCP/2605,BGPd vty
BGS-NSI,TCP/482,
BH611,"TCP/354,UDP/354",
BHEVENT,"TCP/357,UDP/357",
BHFHS,"TCP/248,UDP/248",
BHMDS,"TCP/310,UDP/310",
BIFF,UDP/512,comsat
BIGBROTHER,TCP/1984,Big Brother monitoring server - www.bb4.com
BIIMENU,"TCP/18000,UDP/18000","Beckman Instruments, Inc."
BITTORRENT-TRACKER,TCP/6881,BitTorrent tracker
BL-IDM,"TCP/142,UDP/142",Britton-Lee IDM
BLACKBOARD,"TCP/2032,UDP/2032",
BLACKICE-ALERTS,TCP/8082,BlackIce Alerts sent to this port
BLACKICE-ICECAP,TCP/8081,ICECap user console
BLACKJACK,UDP/1025,network blackjack
BLUEBERRY-LM,"TCP/1432,UDP/1432",Blueberry Software License Manager
BMAP,"TCP/3421,UDP/3421",Bull Apprise portmapper
BNET,"TCP/415,UDP/415",
BO2K,"TCP/14141,TCP/15151,TCP/54320,UDP/54321",Back Orifice 2K BoPeep mouse/keyboard input
BOINC,"TCP/1043,UDP/1043,TCP/31416",BOINC Client Control or Microsoft IIS
BOOTCLIENT,UDP/2017,
BOOTSERVER,"TCP/2016,UDP/2016",
BTX,TCP/20005,xcept4 (Interacts with German Telekom's CEPT videotext service)
BUSBOY,TCP/998,
BWNFS,UDP/650,BW-NFS DOS Authentication
BYTEX,"TCP/1375,UDP/1375",
CAB-PROTOCOL,"TCP/595,UDP/595",
CABLEPORT-AX,"TCP/282,UDP/282",cable port a/x
CACP,UDP/190,Gateway Access Control Protocol
CADIS-1,"TCP/1441,UDP/1441",Cadis License Management
CADIS-2,"TCP/1442,UDP/1442",Cadis License Management
CADKEY-LICMAN,"TCP/1399,UDP/1399",Cadkey License Manager
CADKEY-TABLET,"TCP/1400,UDP/1400",Cadkey Tablet Daemon
CADLOCK,"TCP/770,UDP/770,TCP/1000",
CADSI-LM,"TCP/1387,UDP/1387",Computer Aided Design Software Inc LM
CAL,"TCP/588,UDP/588",
CALLBOOK,"TCP/2000,UDP/2000",
CANNA,TCP/5680,Canna (Japanese Input)
CARBONCOPY,TCP/1680,
CARRACHO,"TCP/6700,TCP/6701",Carracho file sharing
CCE3X,TCP/1139,ClearCommerce Engine 3.x ( www.clearcommerce.com)
CCE4X,TCP/12000,ClearCommerce Engine 4.x (www.clearcommerce.com)
CCMAIL,"TCP/3264,UDP/3264",cc:mail/lotus
CCPROXY-FTP,TCP/2121,CCProxy FTP Proxy
CCPROXY-HTTP,TCP/808,CCProxy HTTP/Gopher/FTP (over HTTP) proxy
CDC,"TCP/223,UDP/223",Certificate Distribution Center
CDFUNC,"TCP/2045,UDP/2045",
CFDPTKT,"TCP/120,UDP/120",
CFENGINE,"TCP/5308,UDP/5308",
CFS,"TCP/3049,UDP/3049",cryptographic file system (nfs) (proposed)
CHARGEN,"TCP/19,UDP/19",ttytst source Character Generator
CHECKSUM,"TCP/1386,UDP/1386",CheckSum License Manager
CHROMAGRAFX,"TCP/1373,UDP/1373",
CHSHELL,"TCP/562,UDP/562",chcmd
CICHILD-LM,"TCP/1523,UDP/1523",
CICHLID,"TCP/1377,UDP/1377",Cichlid License Manager
CISCO-FNA,"TCP/130,UDP/130",cisco FNATIVE
CISCO-SYS,"TCP/132,UDP/132",cisco SYSMAINT
CISCO-TNA,"TCP/131,UDP/131",cisco TNATIVE
CISCOPOP,UDP/45000,Cisco Postoffice Protocol for Cisco Secure IDS
CITADEL,"TCP/504,UDP/504",
CITRIX-ICA,"TCP/1494,UDP/1494",
CL-1,"TCP/172,UDP/172",Network Innovations CL/1
CLEARCASE,"TCP/371,UDP/371",
CLOANTO-NET-1,"TCP/356,UDP/356",Cloanto Net 1
CLVM-CFG,"TCP/1476,UDP/1476",
CMIP-AGENT,TCP/164,CMIP/TCP Agent
CMIP-MAN,"TCP/163,UDP/163",CMIP/TCP Manager
COAUTHOR,UDP/1529,oracle
CODAAUTH2,"TCP/370,UDP/370",
CODASRV,"TCP/2432,UDP/2432",
CODASRV-SE,"TCP/2433,UDP/2433",
COLDFUSION-AUTH,"TCP/44442,TCP/44443",ColdFusion Advanced Security/Siteminder Authentication Port (by Allaire/Netegrity)
COMMERCE,"TCP/542,UDP/542",
COMMPLEX-LINK,"TCP/5001,UDP/5001",
COMPAQDIAG,"TCP/2301,TCP/49400",Compaq remote diagnostic/management
COMPRESSNET,"TCP/2,UDP/2,TCP/3,UDP/3",Management Utility
COMSCM,"TCP/437,UDP/437",
CON,"TCP/759,UDP/759",
CONCERT,"TCP/786,UDP/786",
CONF,TCP/2008,
CONFERENCE,"TCP/531,UDP/531",chat
CONFLUENT,"TCP/1484,UDP/1484",Confluent License Manager
CONNECT-PROXY,TCP/5490,Many HTTP CONNECT proxies 
CONNLCLI,"TCP/1358,UDP/1358",
CONTENTSERVER,"TCP/454,UDP/454",
CONTROLIT,TCP/799,Remotely possible
CORBALOC,TCP/2809,Corba
COURIER,"TCP/530,UDP/530",rpc
COVIA,"TCP/64,UDP/64",Communications Integrator (CI)
CREATIVEPARTNR,"TCP/455,UDP/455",
CREATIVESERVER,"TCP/453,UDP/453",
CRONUS,"TCP/148,UDP/148",CRONUS-SUPPORT
CRS,"TCP/507,UDP/507",
CRYSTALENTERPRISE,TCP/6401,Seagate Crystal Enterprise
CRYSTALREPORTS,TCP/6400,Seagate Crystal Reports
CSDM,"TCP/1468,UDP/1468,TCP/1472,UDP/1472",
CSDMBASE,"TCP/1467,UDP/1467,TCP/1471,UDP/1471",
CSI-SGWP,"TCP/348,UDP/348",Cabletron Management Protocol
CSNET-NS,"TCP/105,UDP/105",Mailbox Name Nameserver
CTF,"TCP/84,UDP/84",Common Trace Facility
CUCME-1,UDP/7648,cucme live video/audio server
CUCME-2,UDP/7649,cucme live video/audio server
CUCME-3,UDP/7650,cucme live video/audio server
CUCME-4,UDP/7651,cucme live video/audio server
CUILLAMARTIN,"TCP/1356,UDP/1356",CuillaMartin Company
CUSTIX,"TCP/528,UDP/528",Customer IXChange
CVC,"TCP/1495,UDP/1495",
CVC_HOSTD,"TCP/442,UDP/442",
CVSPSERVER,"TCP/2401,UDP/2401",CVS network server
CYBERCASH,"TCP/551,UDP/551",
CYCLESERV,"TCP/763,UDP/763",
CYCLESERV2,"TCP/772,UDP/772",
CYPRESS,TCP/2015,
CYPRESS-STAT,TCP/2017,
DASP,"TCP/439,UDP/439",
DATASURFSRV,"TCP/461,UDP/461",
DATASURFSRVSEC,"TCP/462,UDP/462",
DATEX-ASN,"TCP/355,UDP/355",
DAYNA,"TCP/244,UDP/244",
DAYTIME,"TCP/13,UDP/13",
DBASE,"TCP/217,UDP/217",dBASE Unix
DBBROWSE,"TCP/47557,UDP/47557",Databeam Corporation
DBEREGISTER,"TCP/1479,UDP/1479",
DBREPORTER,"TCP/1379,UDP/1379",Integrity Solutions
DBSA-LM,"TCP/1407,UDP/1407",DBSA License Manager
DBSTAR,"TCP/1415,UDP/1415",
DC,TCP/2001,or nfr20 web queries
DCA,"TCP/1456,UDP/1456",
DCP,"TCP/93,UDP/93",Device Control Protocol
DCS,"TCP/1367,UDP/1367",
DDM-DFM,"TCP/447,UDP/447",
DDM-RDB,"TCP/446,UDP/446",
DDM-SSL,"TCP/448,UDP/448",ddm-byte
DEC-NOTES,"TCP/3333,UDP/3333",DEC Notes
DECAP,"TCP/403,UDP/403",
DECAUTH,"TCP/316,UDP/316",
DECBSRV,"TCP/579,UDP/579",
DECLADEBUG,"TCP/410,UDP/410",DECLadebug Remote Debug Protocol
DECTALK,TCP/2007,
DECVMS-SYSMGT,"TCP/441,UDP/441",
DEOS,"TCP/76,UDP/76",Distributed External Object Store
DESLOGIN,"TCP/2005,TCP/3005",encrypted symmetric telnet/login
DESLOGIND,TCP/3006,
DEVICE,"TCP/801,UDP/801",
