incidentType,name,reptDevIpAddr,createDevice,deviceName,deviceType,domainController,count,method
PH_RULE_IMPORTANT_APP_DOWN,Important process down,10.1.0.1,TRUE,automator10Dot1Dot0Dot1,linux,,1,syslog
PH_RULE_NETWORK_PORT_STAY_DOWN,Server Network Low Port Staying Down,10.2.0.1,TRUE,automator10Dot2Dot0Dot1,linux,,1,syslog
PH_RULE_NON_RESPONSIVE_SERVICE_IP,Service Down: No Response to STM,10.4.0.1,,automator10Dot4Dot0Dot1,,,2,syslog
PH_RULE_DEGRADED_SERVICE,Service Degraded-Slow Response to STM,10.3.0.1,,automator10Dot3Dot0Dot1,,,3,syslog
PH_RULE_NON_RESPONSIVE_SERVICE_CONTINUE,Service Staying Down-No Response to STM,10.5.0.1,,automator10Dot5Dot0Dot1,,,4,syslog
PH_RULE_FPC_CHD_HIGH,FPC Current THD high,15.0.1.1,,Automator15Dot0Dot1Dot1,,,2,syslog
PH_RULE_FPC_GROUND_CURR_HIGH,FPC ground current high,15.0.2.1,,Automator15Dot0Dot2Dot1,,,2,syslog
PH_RULE_FPC_VHD_HIGH,FPC Voltage high,15.0.3.1,,Automator15Dot0Dot3Dot1,,,2,syslog
PH_RULE_HVAC_TOO_HUMID,HVAC humidity high,15.0.4.1,,Automator15Dot0Dot4Dot1,,,2,syslog
PH_RULE_HVAC_TOO_DRY,HVAC humidity low,15.0.5.1,,Automator15Dot0Dot5Dot1,,,2,syslog
PH_RULE_HVAC_TOO_HOT,HVAC temp high,15.0.6.1,,Automator15Dot0Dot6Dot1,,,2,syslog
PH_RULE_HVAC_TOO_COLD,HVAC temp low,15.0.7.1,,Automator15Dot0Dot7Dot1,,,2,syslog
PH_RULE_UPS_BATTERY_METRIC_CRIT,UPS Battery Metrics Critical,15.0.8.1,,Automator15Dot0Dot8Dot1,,,2,syslog
PH_RULE_UPS_BATTERY_STAT_CRIT,UPS Battery Status Critical,15.0.9.1,,Automator15Dot0Dot9Dot1,,,1,syslog
PH_RULE_BGP_NBR_DOWN,BGP Neighbor Down,12.9.0.1,,,,,1,syslog
PH_RULE_NET_HW_CRITICAL,Network Device Hardware Critical,12.4.0.1,TRUE,automator12Dot4Dot0Dot1,cisco,,1,syslog
PH_RULE_NET_HW_WARN,Network Device Hardware Warning,12.5.0.1,TRUE,automator12Dot5Dot0Dot1,cisco,,1,syslog
PH_RULE_ICMP_UNREACH_SAME_HOSTS,Excessive ICMP Unreachable (NetFlow),$localhost,,,,,1,netflow
PH_RULE_INTF_DUPLEX_MISMATCH,Network Device Interface Duplex Mismatch,12.8.0.1,TRUE,automator12Dot8Dot0Dot1,cisco,,6,syslog
PH_RULE_INTF_FLAP_NET_DEV,Network Device Interface Flapping,12.6.0.1,TRUE,automator12Dot6Dot0Dot1,cisco,,3,syslog
PH_RULE_DOWN_INTF_NET,Network Device Interface Staying Down,12.7.0.1,TRUE,automator12Dot7Dot0Dot1,cisco,,1,syslog
PH_RULE_DEGRADED_PING_NET_DEV,Network Device Degraded-Lossy Ping Response,12.2.0.1,TRUE,automator12Dot2Dot0Dot1,cisco,,1,syslog
PH_RULE_NON_RESPONSIVE_NET_DEV,Network Device Down-no ping response,12.3.0.1,TRUE,automator12Dot3Dot0Dot1,cisco,,1,syslog
PH_RULE_OSPF_NBR_DOWN,OSPF Neighbor Down,12.10.0.1,,,,,1,syslog
PH_RULE_EIGRP_NBR_DOWN,EIGRP Neighbor Down,12.9.0.2,,,,,1,syslog
PH_RULE_RV_CALL_PROBLEMS,Radvision call setup issues,$localhost,,,,,1,syslog
PH_RULE_RV_CORRUPT_VIDEO,Radvision Corrupt video packets,$localhost,,,,,1,syslog
PH_RULE_RV_ETHERNET_DOWN,Radvision Ethernet Loss,$localhost,,,,,1,syslog
PH_RULE_RV_DOWN,Radvision Gateway Down,$localhost,,,,,1,syslog
